1;24.hu;no;no
2;origo.hu;yes;yes
3;blog.hu;no;no
4;index.hu;no;no
5;nlc.hu;no;no
6;hvg.hu;yes;yes
7;blikk.hu;no;no
8;arukereso.hu;no;no
9;femina.hu;no;no
10;jofogas.hu;no;no
11;444.hu;no;no
12;nosalty.hu;no;no
13;hazipatika.com;no;no
14;mindmegette.hu;no;no
15;szeretlekmagyarorszag.hu;no;no
16;life.hu;yes;yes
17;portfolio.hu;no;no
18;hasznaltauto.hu;no;no
19;borsonline.hu;no;no
20;napi.hu;no;no
21;idokep.hu;no;no
22;startlap.hu;no;no
23;webbeteg.hu;yes;yes
24;atv.hu;no;no
25;cafeblog.hu;no;no
26;videa.hu;yes;yes
27;rtl.hu;no;no
28;vezess.hu;no;no
29;port.hu;no;no
30;vatera.hu;no;no
31;noizz.hu;no;no
32;divany.hu;no;no
33;tv2.hu;no;no
34;penzcentrum.hu;no;no
35;nemzetisport.hu;no;no
36;totalcar.hu;no;no
37;menetrendek.hu;no;no
38;infostart.hu;no;no
39;velvet.hu;no;no
40;freemail.hu;no;no
41;bien.hu;yes;yes
42;player.hu;no;no
43;glamour.hu;yes;no
44;168ora.hu;no;no
45;receptneked.hu;no;no
46;cosmopolitan.hu;no;no
47;femcafe.hu;no;no
48;indavideo.hu;no;no
49;profession.hu;no;no
50;reblog.hu;yes;yes
51;nepszava.hu;yes;yes
52;mafab.hu;no;no
53;egeszsegkalauz.hu;no;no
54;joy.hu;no;no
55;topszotar.hu;no;no
56;wmn.hu;no;no
57;programturizmus.hu;no;no
58;ittlakunk.hu;no;no
59;koponyeg.hu;no;no
60;babaszoba.hu;no;no
61;rtlmost.hu;no;no
62;eduline.hu;yes;yes
63;propeller.hu;yes;yes
64;hirstart.hu;no;no
65;hirado.hu;no;no
66;portal.ceginformacio.hu;no;no
67;autonavigator.hu;no;no
68;blogstar.hu;no;no
69;tenyek.hu;no;no
70;m4sport.hu;no;no
71;alfahir.hu;yes;yes
72;hrportal.hu;no;no
73;welovebudapest.com;no;no
74;minden-egyben.com;no;no
75;ign.hu;no;no
76;delmagyar.hu;yes;yes
77;csaladinet.hu;no;no
78;kisalfold.hu;yes;yes
79;promotions.hu;no;no
80;agroinform.hu;no;no
81;qubit.hu;no;no
82;mediaklikk.hu;no;no
83;mfor.hu;no;no
84;magyarhang.org;yes;yes
85;streetkitchen.hu;no;no
86;bookline.hu;no;no
87;magyarnarancs.hu;no;no
88;napidoktor.hu;yes;yes
89;hirklikk.hu;no;no
90;g7.hu;no;no
91;wellandfit.hu;no;no
92;eoldal.hu;no;no
93;boon.hu;yes;yes
94;szon.hu;yes;yes
95;privatbankar.hu;no;no
96;azonnali.hu;no;no
97;sorozatbarat.online;yes;yes
98;she.hu;yes;yes
99;sobors.hu;no;no
100;startapro.hu;no;no
